Golden_ID,Organisation,Organisation_Key,Reference_Date,Source_IDs,Source_URLs,Secteur_REF,Menace_REF,Localisation_REF,Secteur_Confidence,Menace_Confidence,Localisation_Confidence,Secteur_Evidence,Menace_Evidence,Localisation_Evidence,Incident_ID_Snapshot,Reviewed_At,Golden_Version,Taxonomy_Version
GOLD-0053,Fédération Française Handisport,federation francaise handisport,2026-07-09,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale du handisport.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-6A9D6083CDEB,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0054,Pays du Mont-Blanc,pays du mont blanc,2026-07-09,CYBERATTAQUE_ORG,https://www.cyberattaque.org/pays-du-mont-blanc-une-cyberattaque-chez-son-operateur-paralyse-les-services/,Administration / Collectivité,Incident tiers,France métropolitaine,MEDIUM,HIGH,HIGH,Le Pays du Mont-Blanc désigne une structure intercommunale/territoriale de services publics.,La source attribue explicitement la perturbation à une cyberattaque chez l'opérateur de la collectivité.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-48A1886DA2F7,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0055,École Supérieure de Génie Informatique,ecole superieure de genie informatique,2026-07-09,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,L'ESGI est une école supérieure d'informatique.,L'alerte FrenchBreaches référence une violation de données attribuée à l'école.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-171F220F596A,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0056,Ministère de la Culture,ministere de la culture,2026-07-08,CYBERATTAQUE_ORG,https://www.cyberattaque.org/ministere-de-la-culture-45-362-contacts-professionnels-revendiques-apres-une-faille-idor/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,MEDIUM,HIGH,Un ministère est une administration de l'État.,Une base structurée de contacts est revendiquée et des échantillons ont été publiés.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-E814197D976B,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0057,Télécom Saint-Étienne,telecom saint etienne,2026-07-08,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Télécom Saint-Étienne est une école d'ingénieurs et établissement d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'école.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-8D8FDF029408,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0058,1001Coques,1001coques,2026-07-07,FRENCHBREACHES,,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,1001Coques est un marchand en ligne d'accessoires et protections pour appareils.,L'alerte FrenchBreaches référence une violation de données attribuée au marchand.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-86062736264A,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0059,ENS Paris-Saclay,ens paris saclay,2026-07-07,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,L'ENS Paris-Saclay est un établissement public d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'école.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-EEDEA7EC3595,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0060,Espaces Atypiques,espaces atypiques,2026-07-06,FRENCHBREACHES,,Construction / BTP,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Espaces Atypiques est un réseau d'agences immobilières.,L'alerte FrenchBreaches référence une violation de données attribuée au réseau.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-BFE7FA130189,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0061,IAD Group,iad group,2026-07-03,CYBERATTAQUE_ORG | FRENCHBREACHES,https://www.cyberattaque.org/iad-group-38-millions-de-personnes-et-966-go-de-documents-clients-en-fuite-apres-une-cyberattaque/,Construction / BTP,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,IAD Group est un réseau de services et mandataires immobiliers.,La source décrit des millions de personnes et un volume important de documents clients en fuite.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-F65B640D74E9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0062,Police Municipale Le Pontet,police municipale le pontet,2026-07-01,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Une police municipale est un service d'une collectivité territoriale.,L'alerte FrenchBreaches référence une violation de données attribuée au service municipal.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-4D61E266907A,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0064,Air Corsica,air corsica,2026-06-29,FRENCHBREACHES,,Transport / Logistique,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Air Corsica est une compagnie aérienne.,L'alerte FrenchBreaches référence une violation de données attribuée à la compagnie.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-871A659D5296,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0065,Axonaut,axonaut,2026-06-29,CYBERATTAQUE_ORG,https://www.cyberattaque.org/axonaut-8-bases-clients-et-des-milliers-de-factures-exposees-apres-une-cyberattaque/,Numérique / Technologie,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Axonaut développe un logiciel SaaS français de gestion d'entreprise.,La source décrit l'exposition de bases clients et de milliers de factures.,Axonaut est une entreprise française fondée à Toulouse.,INC-2673611A058B,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0066,CapiFrance,capifrance,2026-06-29,FRENCHBREACHES,,Construction / BTP,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,CapiFrance est un réseau de mandataires et services immobiliers.,L'alerte FrenchBreaches référence une violation de données attribuée au réseau.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-FABC6345C6E5,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0067,Ministère des Sports,ministere des sports,2026-06-26,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Un ministère est une administration de l'État.,L'alerte FrenchBreaches référence une violation de données attribuée au ministère.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-B9C4EBD81CBB,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0068,Fédération Hospitalière de France,federation hospitaliere de france,2026-06-24,FRENCHBREACHES,,Santé,Fuite de données,France métropolitaine,MEDIUM,HIGH,HIGH,La Fédération Hospitalière de France représente des établissements publics de santé et médico-sociaux.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-AB7E14BBE82D,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0069,Century 21 France,century 21 france,2026-06-23,FRENCHBREACHES,,Construction / BTP,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Century 21 France est un réseau d'agences immobilières.,L'alerte FrenchBreaches référence une violation de données attribuée au réseau.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-1D0F1D8E33D5,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0070,RATP,ratp,2026-06-14,CYBERATTAQUE_ORG,https://www.cyberattaque.org/ratp-les-donnees-de-plus-de-62-000-employes-diffusees-sur-le-darkweb/,Transport / Logistique,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,La RATP exploite des réseaux de transport public.,La source décrit la diffusion sur le dark web de données de plus de 62 000 employés.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2686144A82CB,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0071,SSTRN,sstrn,2026-06-14,CYBERATTAQUE_ORG,https://www.cyberattaque.org/sstrn-les-donnees-de-plus-de-15-000-salaries-et-1-500-entreprises-en-fuite/,Santé,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Le SSTRN est un service de prévention et de santé au travail.,La source décrit une fuite touchant des salariés et des entreprises suivies par le service.,Le SSTRN exerce à Nantes et dans son territoire en France métropolitaine.,INC-3AED84644061,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0072,BYmyCAR,bymycar,2026-06-13,CYBERATTAQUE_ORG,https://www.cyberattaque.org/bymycar-un-prestataire-victime-dune-cyberattaque-les-donnees-de-clients-exposees/,Commerce / Distribution,Incident tiers,France métropolitaine,HIGH,HIGH,HIGH,BYmyCAR est un groupe de distribution automobile.,BYmyCAR indique que l'accès non autorisé concernait un outil CRM exploité par un prestataire externe.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-FDA5CD7B3568,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0073,France Services,france services,2026-06-12,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,France Services est un réseau public d'accompagnement aux démarches administratives.,L'alerte FrenchBreaches référence une violation de données liée à ce service public.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-335A5420ECBD,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0074,Profil Search,profil search,2026-05-03,FRENCHBREACHES,,Services aux entreprises,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Profil Search fournit des services de recrutement et de ressources humaines aux entreprises.,L'alerte FrenchBreaches référence une violation de données attribuée à l'entreprise.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-930F9D0A0F2B,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0075,Easy Cash,easy cash,2026-04-30,FRENCHBREACHES,,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Easy Cash est un réseau de commerce de produits d'occasion.,L'alerte FrenchBreaches référence une violation de données attribuée au réseau.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-35553C97DCD2,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0076,Umanens,umanens,2026-04-30,FRENCHBREACHES,,Finance / Assurance,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Umanens est une union d'acteurs mutualistes de protection sociale complémentaire.,L'alerte FrenchBreaches référence une violation de données attribuée à Umanens.,Umanens est une organisation française de protection sociale implantée à Paris.,INC-AF81E2A4DD6C,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0077,Yomoni,yomoni,2026-04-30,FRENCHBREACHES,,Finance / Assurance,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Yomoni fournit des services d'épargne et de gestion d'investissement.,L'alerte FrenchBreaches référence une violation de données attribuée à Yomoni.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-101CC5166D0C,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0078,Boulangerie Ange,boulangerie ange,2026-04-29,FRENCHBREACHES,,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Boulangerie Ange exploite un réseau de boulangeries et points de vente.,L'alerte FrenchBreaches référence une violation de données attribuée à l'enseigne.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-7CF147BD04D4,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0080,Ville de Saint-Étienne,ville de saint etienne,2026-04-29,CYBERATTAQUE_ORG,https://www.cyberattaque.org/saint-etienne-des-donnees-de-spectateurs-exposees-via-son-prestataire-de-billetterie/,Administration / Collectivité,Incident tiers,France métropolitaine,HIGH,HIGH,HIGH,La Ville de Saint-Étienne est une collectivité territoriale.,La source attribue explicitement l'exposition des données au prestataire de billetterie de la ville.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-8D883B4708E9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0081,Bordeaux Métropole,bordeaux metropole,2026-04-27,CYBERATTAQUE_ORG,https://www.cyberattaque.org/bordeaux-metropole-fuite-de-11-000-declarations-fiscales-apres-une-cyberattaque/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Bordeaux Métropole est un établissement public de coopération intercommunale.,La source décrit la fuite de milliers de déclarations fiscales.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-69D8F5ECA6CA,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0082,Bazar du Manga,bazar du manga,2026-04-17,FRENCHBREACHES,,Commerce / Distribution,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Bazar du Manga exerce une activité de commerce de produits liés au manga et à la pop culture.,L'alerte FrenchBreaches référence une violation de données attribuée au marchand.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-ACFA66122429,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0083,Fédération Française de Basketball,federation francaise de basketball,2026-04-17,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale de basketball.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-D0FA7243DA4D,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0084,Moulin Roty,moulin roty,2026-04-17,FRENCHBREACHES,,Industrie / Manufacture,Fuite de données,France métropolitaine,MEDIUM,HIGH,HIGH,Moulin Roty conçoit et fabrique des jouets et articles pour enfants.,L'alerte FrenchBreaches référence une violation de données attribuée au fabricant.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-799E8962A7F9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0085,Assuréa,assurea,2026-04-15,FRENCHBREACHES,,Finance / Assurance,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Assuréa exerce une activité de courtage ou services d'assurance.,L'alerte FrenchBreaches référence une violation de données attribuée à l'entreprise.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-F8D163C19511,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0086,Basic-Fit France,basic fit france,2026-04-13,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Basic-Fit exploite des salles de sport et de fitness.,L'alerte FrenchBreaches référence une violation de données attribuée à l'enseigne.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-078CC98F8D6F,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0087,ImmoJeune,immojeune,2026-04-13,CYBERATTAQUE_ORG,https://www.cyberattaque.org/immojeune-17-million-de-profils-etudiants-en-fuite-apres-un-acces-frauduleux/,Construction / BTP,Intrusion,France métropolitaine,HIGH,HIGH,HIGH,ImmoJeune est une plateforme immobilière spécialisée dans le logement étudiant.,La source décrit explicitement un accès frauduleux ayant conduit à l'exposition de profils.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-E6BDE621A4F3,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0088,GUEGUEN Avocats,gueguen avocats,2026-04-20,RANSOMWARE_LIVE | CYBERATTAQUE_ORG,https://www.cyberattaque.org/gueguen-avocats-victime-dun-ransomware-des-donnees-confidentielles-revendiquees/,Services aux entreprises,Ransomware,France métropolitaine,HIGH,HIGH,HIGH,GUEGUEN Avocats est un cabinet d'avocats fournissant des services juridiques professionnels.,La source identifie explicitement une attaque par ransomware et une revendication de données.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-6EF67E928EC9,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0089,Université Bourgogne Europe,universite bourgogne europe,2026-04-19,FRENCHBREACHES,,Éducation / Formation,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Université Bourgogne Europe est un établissement d'enseignement supérieur.,L'alerte FrenchBreaches référence une violation de données attribuée à l'université.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-4FB6DADA12C8,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0090,Cerballiance,cerballiance,2026-03-25,FRENCHBREACHES,,Santé,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Cerballiance exploite un réseau de laboratoires de biologie médicale.,L'alerte FrenchBreaches référence une violation de données attribuée au réseau.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-C285EADB1436,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0091,Crous,crous,2026-03-24,CYBERATTAQUE_ORG,https://www.cyberattaque.org/crous-des-donnees-personnelles-detudiants-exposees-apres-une-cyberattaque/,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Les Crous sont des établissements publics chargés des services de vie étudiante.,La source décrit l'exposition de données personnelles d'étudiants.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-C70121191014,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0092,Métropole Aix-Marseille-Provence,metropole aix marseille provence,2026-03-24,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,La Métropole Aix-Marseille-Provence est un établissement public de coopération intercommunale.,L'alerte FrenchBreaches référence une violation de données attribuée à la métropole.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-6724236E07AC,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0093,STOR Solutions,stor solutions,2026-04-24,CYBERATTAQUE_ORG,https://www.cyberattaque.org/stor-solutions-datacenter-cyberattaque-canal-alpha/,Numérique / Technologie,Intrusion,La Réunion,HIGH,MEDIUM,HIGH,STOR Solutions fournit des services de datacenter et d'infrastructure numérique.,La source décrit une cyberattaque visant le datacenter et ses systèmes; l'accès hostile est l'élément central.,STOR Solutions est implantée à La Réunion.,INC-73E635BC9E27,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0094,Orange Madagascar,orange madagascar,2026-03-06,RANSOMWARE_LIVE,https://www.ransomware.live/#/victim/orange-madagascar,Numérique / Technologie,Ransomware,Madagascar,HIGH,HIGH,HIGH,Orange Madagascar est un opérateur de télécommunications.,Ransomware.live référence Orange Madagascar comme victime d'un groupe ransomware.,La victime est l'entité Orange opérant à Madagascar.,INC-09BBD7F9B544,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0095,Mairie de Fumel,mairie de fumel,2026-02-13,RANSOMWARE_LIVE,https://www.ransomware.live/#/victim/mairie-de-fumel,Administration / Collectivité,Ransomware,France métropolitaine,HIGH,HIGH,HIGH,Une mairie est une collectivité territoriale.,Ransomware.live référence la mairie comme victime d'un groupe ransomware.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2DFFDBE5B299,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0096,DGFiP,dgfip,2026-02-18,CYBERATTAQUE_ORG,https://www.economie.gouv.fr/actualites/acces-illegitimes-au-ficoba,Administration / Collectivité,Compromission de compte / messagerie,France métropolitaine,HIGH,HIGH,HIGH,La DGFiP est une direction de l'administration de l'État.,Le ministère indique que l'acteur malveillant a usurpé les identifiants d'un fonctionnaire avant l'accès au FICOBA.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-42F11737455B,2026-08-17,2,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0097,ARS,ars,2026-02-05,FRENCHBREACHES,,Administration / Collectivité,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Une agence régionale de santé est un établissement public de l'État chargé de la politique sanitaire régionale.,L'alerte FrenchBreaches référence une violation de données attribuée à une ARS.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-502F3948A14D,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0098,Fédération Française de Randonnée,federation francaise de randonnee,2026-02-05,FRENCHBREACHES,,Sport,Fuite de données,France métropolitaine,HIGH,HIGH,HIGH,Fédération sportive nationale de randonnée.,L'alerte FrenchBreaches référence une violation de données attribuée à la fédération.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-2AC2F68DE9C3,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0099,Eiffage,eiffage,2026-03-01,RANSOMWARE_LIVE,https://www.ransomware.live/#/victim/eiffage,Construction / BTP,Ransomware,France métropolitaine,HIGH,HIGH,HIGH,"Eiffage est un groupe français de construction, concessions et travaux publics.",Ransomware.live référence Eiffage comme victime d'un groupe ransomware.,La victime est une entité française implantée ou institutionnellement rattachée à la France métropolitaine.,INC-BCF8B8305BBC,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
GOLD-0100,Rogers Capital,rogers capital,2026-01-14,RANSOMWARE_LIVE,https://www.ransomware.live/#/victim/rogers-capital,Finance / Assurance,Ransomware,Maurice,MEDIUM,HIGH,HIGH,Rogers Capital fournit des services financiers et de gestion d'entreprise.,Ransomware.live référence Rogers Capital comme victime d'un groupe ransomware.,Rogers Capital est une entreprise mauricienne implantée à Maurice.,INC-D3948486A973,2026-08-16,1,OBS-FR-OI-SIMPLE-SOURCING-8
